"intent_id","message"
1650359775,"สามารถดาวน์โหลดแอพลิเคชัน DIP e-Service ได้ทั้งระบ...."
1650359841,"สามารถร้องเรียน ติชม เสนอแนะ ได้ทาง : http://www.i...."
1650429367,"ปี พ.ศ. 2453 จัดตั้งหอทะเบียนเครื่องหมายการค้า ภาย...."
1650431013,"การออกสิทธิบัตรมีค่าธรรมเนียม โดยตรวจสอบข้อมูลได้ท...."
1651163955,"สิทธิบัตรการออกแบบผลิตภัณฑ์ คือความคิดสร้างสรรค์เก...."
1651163993,"สิทธิบัตรการออกแบบ คุ้มครอง 10 ปี...."
1651164500,"- การละเมิดลิขสิทธิ์ต้องระวางโทษปรับตั้งแต่ 20,000...."
1652238133,"สังกัดกระทรวงพาณิชย์...."
1652238196,"วันที่ 3 พฤษภาคม 2535"
1652238249,"คุ้มครองความคิด มุ่งจิตบริการ เน้นงานสร้างสรรค์...."
1652238289,"คุ้มครองความคิด มุ่งจิตบริการ เน้นงานสร้างสรรค์...."
1652238461,"https://goo.gl/maps/yxbN17x77YKUeJwh7"
1652238496,"563 ถนนนนทบุรี ต.บางกระสอ อ.เมืองนนทบุรี จังหวัดนน...."
1652238636,"เปิดทำการวันจันทร์ – วันศุกร์ (เว้นวันหยุดนักขัตฤก...."
1652239016,"สายด่วนกรมทรัพย์สินทางปัญญา โทร. 1368 โทรศัพท์ 02...."
1652239052,"สายด่วนกรมทรัพย์สินทางปัญญา โทร. 1368...."
1652239112,"โทรสาร 02 547 4691"
1652239177,"กรมทรัพย์สินทางปัญญา (ipthailand.go.th)...."
1652239227,"https://www.facebook.com/ipthailand/"
1652239277,"ไม่มีช่องทาง Instagram"
1652239355,"https://twitter.com/dip_thailand"
1652242078,"https://www.youtube.com/channel/UCsK8BLX4i5nPTgSmL...."
1652242110,"http://www.ipthailand.go.th/th/"
1652242283,"https://apps.apple.com/th/app/dip-e-service/id1189...."
1652242326,"https://play.google.com/store/apps/details?id=th.g...."
1652242370,"http://www.ipthailand.go.th/th/%E0%B8%A0%E0%B8%B2%...."
1652242399,"สามารถดูรายละเอียดการรับสมัครงานได้ทาง : https://i...."
1652242437,"สามารถดูรายละเอียดการรับสมัครงานได้ทาง : https://i...."
