intent_id,keyword
1650358265,สิทธิบัตรคืออะไร
1650358265,สอบถามสิทธิบัตร
1650358265,รายละเอียดของสิทธิบัตร
1650358265,ความหมายของสิทธิบัตร
1650358265,อธิบายสิทธิบัตร
1650358265,สิทธิบัตรมีกี่แบบ
1650358265,สิทธิบัตรมีอะไรบ้าง
1650359775,DIP e-Service
1650359775,แอพพลิเคชัน DIP e-Service
1650359775,โมบายแอพ
1650359775,mobile app
1650359775,IOS
1650359775,Android
1650359775,แอพมือถือ
1650359775,แอพบนมือถือ
1650359775,ไอโฟน
1650359775,iPhone
1650359775,ไอโฟนแอพ
1650359775,แอนดรอยด์แอพ
1650359775,แอพบนแอนดรอยด์
1650359775,แอพบนไอโฟน
1650359775,แอพพลิเคชันบนมือถือ
1650359775,แอพพลิเคชันบนไอโฟน
1650359775,แอพพลิเคชันบนแอนดรอยด์
1650359775,แอพพลิเคชันบน IOS
1650359775,แอพพลิเคชันบน Android
