"intent_id","keyword"
f7716d57-1666-423a-be1d-7be24010889b,สวัสดี
f7716d57-1666-423a-be1d-7be24010889b,สวัสดีครับ
f7716d57-1666-423a-be1d-7be24010889b,สวัสดีค่ะ
f7716d57-1666-423a-be1d-7be24010889b,hello
f7716d57-1666-423a-be1d-7be24010889b,hi
f7716d57-1666-423a-be1d-7be24010889b,greeting
f7716d57-1666-423a-be1d-7be24010889b,สบายดี
f7716d57-1666-423a-be1d-7be24010889b,ว่าไง
f7716d57-1666-423a-be1d-7be24010889b,ถามหน่อย
f7716d57-1666-423a-be1d-7be24010889b,มีคำถาม
4fa6ed26-eef8-46b4-b7df-23ec0becf933,สิทธิบัตรการประดิษฐ์
4fa6ed26-eef8-46b4-b7df-23ec0becf933,สิทธิบัตร
4fa6ed26-eef8-46b4-b7df-23ec0becf933,สิทธิบัตรหมายถึง
4fa6ed26-eef8-46b4-b7df-23ec0becf933,การประดิษฐ์
4fa6ed26-eef8-46b4-b7df-23ec0becf933,การประดิษฐ์หมายถึง
4fa6ed26-eef8-46b4-b7df-23ec0becf933,สอบถามสิทธิบัตร
4fa6ed26-eef8-46b4-b7df-23ec0becf933,รายละเอียดของสิทธิบัตร
4fa6ed26-eef8-46b4-b7df-23ec0becf933,ความหมายของสิทธิบัตร
4fa6ed26-eef8-46b4-b7df-23ec0becf933,คำอธิบายของสิทธิบัตรการประดิษฐ์
4fa6ed26-eef8-46b4-b7df-23ec0becf933,ความหมายของการประดิษฐ์
4fa6ed26-eef8-46b4-b7df-23ec0becf933,สิทธิบัตรและการประดิษฐ์ต่างกัน
4fa6ed26-eef8-46b4-b7df-23ec0becf933,สิทธิบัตรกับการประดิษฐ์เหมือนกัน
42fddf8b-9c83-4489-a4c8-586addeb4498,อนุสิทธิบัตร
42fddf8b-9c83-4489-a4c8-586addeb4498,อนุสิทธิบัตรหมายถึง
42fddf8b-9c83-4489-a4c8-586addeb4498,อนุสิทธิบัตรคือ
42fddf8b-9c83-4489-a4c8-586addeb4498,ความหมายของอนุสิทธิบัตร
9b7420e9-678d-46e8-98cc-5d106b61e71f,ความแตกต่างระหว่างสิทธิบัตรการประดิษฐ์และอนุสิทธิบัตร
9b7420e9-678d-46e8-98cc-5d106b61e71f,สิทธิบัตรและอนุสิทธิบัตรต่างกัน
9b7420e9-678d-46e8-98cc-5d106b61e71f,สิทธิบัตรกับอนุสิทธิบัตรไม่เหมือนกัน
9b7420e9-678d-46e8-98cc-5d106b61e71f,อนุสิทธิบัตรและสิทธิบัตร ความแตกต่าง
9b7420e9-678d-46e8-98cc-5d106b61e71f,อนุสิทธิบัตรกับสิทธิบัตร คล้ายกัน
9b7420e9-678d-46e8-98cc-5d106b61e71f,อนุสิทธิบัตรคล้ายกันกับสิทธิบัตร
9b7420e9-678d-46e8-98cc-5d106b61e71f,สิทธิบัตรต่างจากอนุสิทธิบัตร
9b7420e9-678d-46e8-98cc-5d106b61e71f,สิทธิบัตรไม่เหมือนกับอนุสิทธิบัตร
